Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,41500.000000,41700.000000,41050.000000,41550.000000,41550.000000,109164
2021-08-30,42250.000000,42350.000000,41800.000000,42150.000000,42150.000000,184380
2021-08-31,42200.000000,42650.000000,41600.000000,42500.000000,42500.000000,331636
2021-09-01,42050.000000,42550.000000,41850.000000,42200.000000,42200.000000,155077
2021-09-02,41900.000000,42650.000000,41700.000000,42200.000000,42200.000000,159422
2021-09-03,42300.000000,42450.000000,41900.000000,41950.000000,41950.000000,156585
2021-09-06,41900.000000,42050.000000,41650.000000,41950.000000,41950.000000,120471
2021-09-07,42200.000000,42550.000000,41850.000000,42250.000000,42250.000000,142729
2021-09-08,42100.000000,43300.000000,42100.000000,43100.000000,43100.000000,288468
2021-09-09,42900.000000,43200.000000,41500.000000,41500.000000,41500.000000,360920
2021-09-10,41800.000000,42000.000000,41300.000000,41950.000000,41950.000000,135137
2021-09-13,41800.000000,42200.000000,41600.000000,42000.000000,42000.000000,152248
2021-09-14,42650.000000,43550.000000,42250.000000,43050.000000,43050.000000,332196
2021-09-15,43000.000000,43500.000000,42950.000000,43000.000000,43000.000000,193825
2021-09-16,43650.000000,43950.000000,43250.000000,43600.000000,43600.000000,272565
2021-09-17,43850.000000,43850.000000,42800.000000,43050.000000,43050.000000,355310
2021-09-23,42900.000000,43450.000000,42700.000000,42750.000000,42750.000000,283073
2021-09-24,43050.000000,43950.000000,42800.000000,43700.000000,43700.000000,357368
2021-09-27,43600.000000,44950.000000,43450.000000,44800.000000,44800.000000,394641
2021-09-28,45200.000000,46350.000000,45100.000000,45750.000000,45750.000000,713005
2021-09-29,44850.000000,45700.000000,44300.000000,44450.000000,44450.000000,339547
2021-09-30,44500.000000,44900.000000,44000.000000,44750.000000,44750.000000,230755
2021-10-01,44800.000000,44950.000000,44050.000000,44200.000000,44200.000000,186774
2021-10-05,44950.000000,46200.000000,44450.000000,45300.000000,45300.000000,423160
2021-10-06,46000.000000,46350.000000,45400.000000,45400.000000,45400.000000,575581
2021-10-07,45000.000000,45300.000000,43800.000000,44800.000000,44800.000000,412187
2021-10-08,44300.000000,44900.000000,43450.000000,43800.000000,43800.000000,242128
2021-10-12,44150.000000,45450.000000,43950.000000,45000.000000,45000.000000,295449
2021-10-13,44950.000000,45300.000000,44450.000000,45150.000000,45150.000000,197752
2021-10-14,44750.000000,45000.000000,44250.000000,44800.000000,44800.000000,196635
2021-10-15,44800.000000,45400.000000,44450.000000,45400.000000,45400.000000,187993
2021-10-18,45500.000000,45750.000000,44900.000000,45350.000000,45350.000000,171414
2021-10-19,45450.000000,45600.000000,44900.000000,45300.000000,45300.000000,114602
2021-10-20,45500.000000,45500.000000,44350.000000,44500.000000,44500.000000,194538
2021-10-21,45000.000000,45250.000000,44550.000000,45250.000000,45250.000000,278046
2021-10-22,44750.000000,45050.000000,43600.000000,43900.000000,43900.000000,270538
2021-10-25,43750.000000,44400.000000,43500.000000,44350.000000,44350.000000,139008
2021-10-26,44350.000000,44400.000000,43900.000000,44050.000000,44050.000000,130851
2021-10-27,44050.000000,44250.000000,43550.000000,43800.000000,43800.000000,171217
2021-10-28,43600.000000,43750.000000,42700.000000,42700.000000,42700.000000,283360
2021-10-29,42700.000000,42950.000000,42100.000000,42250.000000,42250.000000,196217
2021-11-01,42150.000000,42550.000000,42150.000000,42500.000000,42500.000000,94313
2021-11-02,42550.000000,43650.000000,42550.000000,43450.000000,43450.000000,173632
2021-11-03,43200.000000,43300.000000,42600.000000,42700.000000,42700.000000,134907
2021-11-04,42700.000000,43300.000000,42500.000000,42800.000000,42800.000000,143520
2021-11-05,42800.000000,43000.000000,41650.000000,42150.000000,42150.000000,264134
2021-11-08,42300.000000,43150.000000,41750.000000,42950.000000,42950.000000,174393
2021-11-09,42950.000000,44200.000000,42900.000000,44050.000000,44050.000000,240458
2021-11-10,44000.000000,44250.000000,43150.000000,43350.000000,43350.000000,163836
2021-11-11,42800.000000,42800.000000,41800.000000,41850.000000,41850.000000,275184
2021-11-12,42000.000000,42700.000000,41950.000000,42550.000000,42550.000000,81548
2021-11-15,42550.000000,42700.000000,42100.000000,42700.000000,42700.000000,102378
2021-11-16,42400.000000,42900.000000,42000.000000,42150.000000,42150.000000,152961
2021-11-17,42200.000000,42350.000000,41000.000000,41250.000000,41250.000000,241100
2021-11-18,41100.000000,41100.000000,40300.000000,40300.000000,40300.000000,226420
2021-11-19,40400.000000,40700.000000,39950.000000,39950.000000,39950.000000,248787
2021-11-22,39750.000000,40150.000000,39550.000000,39850.000000,39850.000000,231842
2021-11-23,39700.000000,40300.000000,39650.000000,40200.000000,40200.000000,192986
2021-11-24,40400.000000,40650.000000,40200.000000,40500.000000,40500.000000,127830
2021-11-25,40250.000000,40350.000000,40000.000000,40000.000000,40000.000000,80583
2021-11-26,40050.000000,40050.000000,38950.000000,39050.000000,39050.000000,335136
2021-11-29,38200.000000,38800.000000,37500.000000,38600.000000,38600.000000,243762
2021-11-30,38650.000000,38750.000000,37500.000000,37500.000000,37500.000000,437679
2021-12-01,37450.000000,38100.000000,37150.000000,37900.000000,37900.000000,297533
2021-12-02,37700.000000,38700.000000,37300.000000,38700.000000,38700.000000,201557
2021-12-03,38700.000000,39300.000000,38350.000000,39150.000000,39150.000000,313632
2021-12-06,39200.000000,40200.000000,38600.000000,39650.000000,39650.000000,217886
2021-12-07,40050.000000,40300.000000,39700.000000,40250.000000,40250.000000,146384
2021-12-08,40500.000000,40950.000000,40050.000000,40200.000000,40200.000000,259899
2021-12-09,40050.000000,40400.000000,39850.000000,40150.000000,40150.000000,250752
2021-12-10,39850.000000,40450.000000,39800.000000,40250.000000,40250.000000,124567
2021-12-13,40450.000000,41050.000000,40250.000000,40550.000000,40550.000000,193107
2021-12-14,40250.000000,40550.000000,39950.000000,40350.000000,40350.000000,136731
2021-12-15,40350.000000,40450.000000,40000.000000,40050.000000,40050.000000,138208
2021-12-16,40200.000000,40800.000000,40200.000000,40800.000000,40800.000000,128809
2021-12-17,40600.000000,41250.000000,40200.000000,41250.000000,41250.000000,206649
2021-12-20,40900.000000,40950.000000,40250.000000,40500.000000,40500.000000,144158
